ID,Movie Name,Year,Timing(min),Rating(10),Genre,Language,Votes
tt0215898,Khaan Dost,1976,157 min,5.6,"Action, Crime, Drama            ",hindi,38
tt1977836,Kalsandhya,1997,124 min,7.8,Drama            ,assamese,11
tt13654756,Ippadikku En Kadhal,2007,115 min,-,Drama            ,tamil,-
tt0281721,Chottanikkara Amma,1976,132 min,6.6,Drama            ,malayalam,8
tt0250759,Sutradhaarulu,1990,-,8.1,"Drama, Musical            ",telugu,55
tt3672760,Butter & Cheese,2014,13 min,-,"Short, Family            ",nepali,-
tt1580704,That Girl in Yellow Boots,2010,103 min,6.6,"Crime, Drama, Mystery            ",kannada,3574
tt14492938,Aanamuttathe Aangalamar,2000,108 min,-,"Comedy, Drama            ",malayalam,-
tt0370808,Jhankar,1942,-,-,-,hindi,-
tt0333636,Ira Thedunna Manushyar,1981,-,-,-,malayalam,-
tt1081913,Aideu,2007,91 min,-,-,assamese,-
tt0203289,American Desi,2001,100 min,6.6,"Comedy, Drama, Romance            ",hindi,1583
tt2548030,Chettayees,2012,-,4.7,Family            ,malayalam,134
tt0352162,Ambalakkara Panchayath,1988,-,-,-,malayalam,-
-,Khape,,-,-,Drama            ,gujarati,-
tt5994746,Supportive Men,2014 TV Short,21 min,-,"Documentary, Short, Family            ",nepali,-
-,Vivash,,-,-,-,hindi,-
tt11423262, Alif Laila,1997–2002,-,-,"Adventure, Fantasy            ",urdu,-
tt14361576,Poila April,2021,-,-,Drama            ,bengali,-
tt0406556,Bachelor Husband,1950,-,-,-,hindi,-
tt0156852,Oru Nadigai Natakam Pakiral,1978,131 min,6.2,-,tamil,12
tt1305021,Dunia Gol Hai,1974,-,-,-,urdu,-
tt4209790,Chalta Purza,1958,-,-,Fantasy            ,hindi,-
tt6588966,Hichki,2018,116 min,7.5,"Comedy, Drama            ",hindi,10905
tt0363777,Lover Boy,1985,-,4.1,"Drama, Romance            ",hindi,19
tt0962716,Babul,1986,162 min,4.8,Drama            ,hindi,9
tt7683212,Babu,2020,26 min,-,"Short, Drama            ",nepali,-
tt9725092,Swabhimaan,2019,122 min,-,Drama            ,gujarati,-
tt0214941,Meera,1947,120 min,7.7,-,hindi,14
tt0314566,Red Indians,2001,-,4.7,-,malayalam,15
tt1319643,Navabharata,1988,-,-,-,kannada,-
tt11102314,Tribhanga,2021,95 min,6.1,"Drama, Family            ",hindi,2406
tt13980542,Sri Bannari Amman,2002,149 min,-,Drama            ,tamil,-
tt13212228,Dear Love,2020– ,-,-,-,nepali,-
tt13057554,Apoorva Mahaan,2015,135 min,-,Drama            ,tamil,-
tt11543304,Haidar Sultan,1982,-,-,"Action, Drama            ",punjabi,-
tt11536276,3 Monkeys,2020,131 min,6.5,Drama            ,telugu,82
tt6650364,Carbon,I 2018,146 min,6.9,"Adventure, Thriller            ",malayalam,1115
tt0277061,Kaapalika,1973,131 min,7.8,-,malayalam,5
tt1339453,Karunamayi,1987,137 min,-,-,kannada,-
-,Phone Bhoot,2021,-,-,"Comedy, Horror            ",hindi,-
tt4417674,Aag aur Angaray,1990,-,-,Action            ,hindi,-
tt10626550,Athmasakhi,2016– ,-,-,-,malayalam,-
tt13086918,Vachikava,2014,-,-,Drama            ,tamil,-
tt4954470,Krishna Arjun,2004,-,-,Action            ,hindi,-
tt0152133,Rahi,1953,139 min,6.9,Drama            ,hindi,27
tt0436165,Chaukat Raja,1991,141 min,7.4,Family            ,marathi,214
tt13730178,School Master,2010,143 min,-,Drama            ,kannada,-
tt4920116,Halla Gulla,2015,-,5.2,"Action, Comedy            ",urdu,77
tt1954666,Monopoly the Game of Money,2012,-,-,Thriller            ,hindi,-
tt0246053,Maga Maharaju,1983,-,6.8,"Comedy, Drama, Romance            ",telugu,30
tt12976166,Band Baaja Babuchak,2017,123 min,-,Comedy            ,gujarati,-
tt0355250,Bebbuli Veta,1985,-,-,-,telugu,-
tt3439838,Gita,2008,-,-,Drama            ,telugu,-
tt0273321,Kusruthi Kuruppu,1998,135 min,5.8,"Comedy, Drama            ",malayalam,40
tt0329393,Mr. and Mrs. Iyer,2002,120 min,7.9,Drama            ,tamil,4681
tt6868074, Siyaasat,2014– ,-,-,History            ,urdu,-
tt0311337,Inth Ka Jawab Patthar,2002,-,3.2,"Musical, Action            ",hindi,9
-,Qalb,,-,-,"Drama, Romance            ",malayalam,-
tt0151765,Nisithe,1963,-,7.2,Drama            ,bengali,10
tt12121480,Cabbie,2019,19 min,-,"Short, Horror            ",nepali,-
tt0254936,Advaitham,1991,181 min,7,"Action, Crime, Drama            ",malayalam,275
tt0317900,Maruppacha,1982,-,-,-,malayalam,-
tt0454491,Kachehari,1994,-,6.4,Action            ,punjabi,14
tt0455261,Kismet Road,2004– ,30 min,-,Drama            ,urdu,-
tt2543854,Fever,2009,-,8.5,"Short, Fantasy            ",nepali,8
tt7586994,Kaashi Amarnath,2017,162 min,4.7,"Action, Drama, Romance            ",bhojpuri,11
tt0429541,Afsana Dilwalon Ka,2001,195 min,3.6,"Drama, Romance            ",urdu,1024
-,Paradise Street,,-,-,"Comedy, Romance, Thriller            ",hindi,-
tt14434198,Namukkore Aakasham,2015,115 min,-,Drama            ,malayalam,-
tt8806546,Argentina Fans Kaattoorkadavu,2019,140 min,4.7,"Drama, Sport            ",malayalam,319
tt3848938,Mr. X,2015,133 min,3.8,"Action, Drama, Sci-Fi            ",hindi,1816
tt0482805,Nakhuda,1968,-,-,-,urdu,-
tt0268520,Pakhandi,1984,138 min,6.5,Drama            ,hindi,26
tt0325620,Ini Ethra Sandhyakal,1979,-,-,-,malayalam,-
tt2498312,Bachchan,2013,145 min,6.6,"Action, Crime, Thriller            ",kannada,926
tt3877652,Desi Kattey,2014,139 min,4,Action            ,hindi,125
tt0329724,Vaddante Dabbu,1954,139 min,6.6,"Comedy, Drama            ",telugu,10
tt4952766,Nooran,1957,-,-,Romance            ,punjabi,-
tt0374069,Murderer,1935,-,-,-,hindi,-
tt6853994,Tharangam,2017,153 min,6.3,"Action, Comedy            ",malayalam,478
tt14191284,Zunjar,2003,-,-,-,marathi,-
tt2929820,Pyase Nain,1989,-,-,Drama            ,hindi,-
tt2714450,Anokha Chamatkar,1988,-,-,Drama            ,hindi,-
tt8178538,Vasudhaika 1957,2016,-,-,Horror            ,telugu,-
tt0414156,Insaan Aur Shaitan,1970,-,5.1,Action            ,hindi,14
tt9729774,Sapthagiri LLB,2017,138 min,7.2,"Comedy, Drama            ",telugu,56
tt5242076,Prem Vidrohi,2012,-,-,Action            ,bhojpuri,-
tt5948916,Manamantha,2016,164 min,7.7,Drama            ,telugu,840
tt2549618,Aug-02,2012,-,4.2,Thriller            ,hindi,9
tt6444022,Ponge Ezhu Manohara,2015,-,-,"Comedy, Drama            ",tamil,-
-,Maayon,,-,-,"Mystery, Thriller            ",tamil,-
tt3411076,1:13:7 Ek Tera Saath,2016,120 min,5.7,Horror            ,hindi,57
tt4604852,Diyar Bhojai,1980,-,-,Romance            ,gujarati,-
tt3949344,Sair-E-Paristan,1958,-,-,Fantasy            ,hindi,-
tt1757789,Lalkare Sheran De,1994,117 min,-,Action            ,punjabi,-
tt4651494,Azad Champion,1968,-,-,Action            ,hindi,-
tt1475422,Thazampoo,1965,-,6.8,-,tamil,6
tt0249571,Haseena 420,1988,-,6.2,-,urdu,5
tt11286160,Record,2019,81 min,-,Horror            ,urdu,-
tt1310391,Raogari Illu,1988,-,-,"Comedy, Drama            ",telugu,-
tt4597882,Proud to Be a Sikh,2014,92 min,7.2,Drama            ,punjabi,20
tt1102297,Paranju Theeratha Visheshangal,2007,-,6.3,-,malayalam,6
tt6957140,Banna Bannada Baduku,2017,-,-,Drama            ,kannada,-
tt9081472,Aickarakkonathe Bhishaguaranmaar,2018,144 min,7.8,Drama            ,malayalam,239
tt0252636,Laxmi,1957,118 min,-,"Drama, Family            ",hindi,-
tt8793888,Patukunte Padivelu,1967,145 min,-,Drama            ,telugu,-
tt4614164,Radha Ghelo Kan,1991,-,-,Drama            ,gujarati,-
tt1569529,"U, Bomsi N Me",2005,-,7.4,Comedy            ,hindi,13
tt10895802,Les Larmes Noires,2015,127 min,-,Documentary            ,urdu,-
tt0247946,Baeelveda,1979,-,-,-,marathi,-
tt10852008,Balakot: the true story,2020,-,-,Action            ,hindi,-
tt5426752,Maan Marjada,1991,137 min,-,Drama            ,bengali,-
tt0242519,Hera Pheri,2000,156 min,8.2,"Action, Comedy, Crime            ",hindi,58037
tt0323755,Raagangal Maruvathillai,1983,-,7.2,-,tamil,5
tt7162396,Putra Badhu,1998,-,-,Drama            ,bengali,-
tt14344696,Naik Parveen,1975,-,-,-,urdu,-
tt4219300,Gollu Aur Pappu,2014,112 min,3.7,Comedy            ,hindi,101
tt11423066, Alif Laila,1997–2002,-,-,"Adventure, Fantasy            ",urdu,-
tt14218668,Shivani,I 2019,-,-,Crime            ,hindi,-
tt10152214,Heer Maan Ja,2019,146 min,5.2,"Action, Comedy, Family            ",punjabi,187
tt0213929,Nayakudu Vinayakudu,1980,-,6,-,telugu,6
tt1774473,Love You to Death,2012,102 min,5.3,"Comedy, Thriller            ",hindi,7
tt0231204,Awara Badal,1964,134 min,5.9,"Action, Adventure, Drama            ",bhojpuri,14
